Abbreviation,Full Name
AB,adductor brevis
AL,adductor longus
AM,adductor magnus
BFa,biceps femoris anterior
BFp,biceps femoris posterior
CF,caudofemoralis
EDL,extensor digitorum longus
EHL,extensor hallucis longus
FDL,flexor digitorum longus
FHL,flexor hallucis longus
GI,gemellus inferior
GS,gemellus superior
GMa,gluteus maximus
GMe,gluteus medius
GMi,gluteus minimus
GA,gracilis anterior
GP,gracilis posterior
IP,iliacus
IP,illiopsoas
LG,lateral gastrocnemius
MG,medial gastrocnemius
OE,obturator externus
OI,obturator internus
Pec,pectineus
Per,peronei
PerB,peroneus brevis
PerL,peroneus longus
PerQa,peroneus digiti quarti
PerQi,peroneus digiti quinti
Pir,piriformis
Pla,plantaris
Pop,popliteus
QF,quadratus femoris
SM,semimembranosus
ST,semitendinosus 
STa,semitendinosus accessory
STp,semitendinosus principal
Sol,soleus
TFL,tensor fascia latae
TA,tibialis anterior
TP,tibialis posterior
RF,rectus femoris
VI,vastus intermedius
VL,vastus lateralis
VM,vastus medialis
