muscle_name,frame_name,x,y,z,units
BFa,spine,-0.0024,0.0045,0.0031,mm
BFa,femur,-0.0001,-0.0302,0.0016,mm
BFp,pelvis,-0.0131,0.0024,-0.0023,mm
BFp,tibia,0.0035,0.0239,0.0026,mm
CF,spine,-0.0039,0.0063,0.0035,mm
CF,femur,-0.0025,-0.0262,-0.002,mm
STp,spine,-0.0056,0.0041,0.0037,mm
STp,tibia,0.0047,0.0231,0.0,mm
STa,pelvis,-0.0145,0.0012,-0.0009,mm
STa,tibia,0.0047,0.0231,0.0,mm
SM,pelvis,-0.0137,-0.0011,-0.0037,mm
SM,tibia,0.0022,0.035,-0.0026,mm
QF,pelvis,-0.0106,-0.0007,-0.0024,mm
QF,femur,-0.0029,-0.0044,0.0011,mm
TFL,pelvis,0.0213,0.0006,0.0026,mm
TFL,femur,0.0057,-0.0178,0.0031,mm
GMa,spine,0.0202,0.0056,0.0041,mm
GMa,femur,-0.0015,-0.0098,0.0064,mm
GMe,pelvis,0.0202,0.004,-0.0001,mm
GMe,femur,-0.0027,-0.0033,0.0064,mm
GMi,pelvis,0.013,0.0009,0.0004,mm
GMi,femur,-0.0004,-0.0001,0.0048,mm
Pir,pelvis,0.0114,0.0042,-0.0007,mm
Pir,femur,-0.0014,0.0009,0.004,mm
GP,pelvis,-0.0148,-0.0055,-0.0063,mm
GP,tibia,0.0049,0.0266,-0.0018,mm
GA,pelvis,-0.0065,-0.0059,-0.0061,mm
GA,tibia,0.0032,0.0289,-0.0017,mm
AL,pelvis,-0.0045,-0.005,-0.0053,mm
AL,femur,-0.0016,-0.017,0.0011,mm
AM,pelvis,-0.0061,-0.0053,-0.0056,mm
AM,femur,-0.0006,-0.03,-0.0031,mm
AB,pelvis,-0.0107,-0.0058,-0.0066,mm
AB,femur,-0.0016,-0.0164,0.0035,mm
Pec,pelvis,0.0009,-0.0034,-0.0033,mm
Pec,femur,-0.0018,-0.0107,0.0019,mm
IP,spine,0.0537,0.005,0.003,mm
IP,femur,-0.0021,-0.0053,0.0001,mm
OE,pelvis,-0.0089,-0.0027,-0.0031,mm
OE,femur,-0.0016,0.0005,0.0035,mm
OI,pelvis,-0.0063,0.0048,-0.0026,mm
OI,femur,-0.0019,0.0007,0.0024,mm
GS,pelvis,0.0029,0.0014,-0.0022,mm
GS,femur,-0.0011,0.0015,0.0024,mm
GI,pelvis,-0.0056,0.0024,-0.0013,mm
GI,femur,-0.0031,-0.0007,0.0021,mm
RF,pelvis,0.0045,-0.0001,0.0015,mm
RF,tibia,0.0026,0.0375,0.0005,mm
VL,femur,-0.0011,-0.0036,0.0056,mm
VL,tibia,0.0026,0.0375,0.0005,mm
VI,femur,0.0008,-0.0116,0.0032,mm
VI,tibia,0.0026,0.0375,0.0005,mm
VM,femur,-0.0002,-0.0074,0.0012,mm
VM,tibia,0.0026,0.0375,0.0005,mm
MG,femur,-0.0027,-0.0278,-0.0021,mm
MG,foot,-0.004,0.0004,0.001,mm
LG,femur,-0.003,-0.0284,0.0017,mm
LG,foot,-0.004,0.0004,0.001,mm
Pla,femur,-0.0023,-0.0275,0.0011,mm
Pla,foot,-0.004,0.0004,0.001,mm
Sol,tibia,-0.0033,0.0335,0.0024,mm
Sol,foot,-0.004,0.0004,0.001,mm
TA,tibia,0.0033,0.0336,0.0026,mm
TA,foot,0.0048,-0.0022,-0.0007,mm
EDL,tibia,0.0012,0.0392,0.0028,mm
EDL,foot,0.0034,-0.0017,0.0011,mm
TP,tibia,-0.0015,0.0339,0.0001,mm
TP,foot,-0.0007,-0.0017,-0.0011,mm
FDL,tibia,-0.0025,0.0354,0.0,mm
FDL,foot,-0.0007,-0.0017,-0.0011,mm
FHL,tibia,-0.0015,0.0339,0.0001,mm
FHL,foot,-0.0007,-0.0017,-0.0011,mm
Per,tibia,-0.0019,0.0353,0.0029,mm
Per,foot,0.0028,-0.0027,0.0017,mm
Pop,femur,-0.0024,-0.0308,0.0017,mm
Pop,tibia,0.0006,0.0271,-0.0023,mm
